File Format, WaveformXYValues
Format Version, 1
Instrument, N1045A,04F,LOJ
SwVersion, A.06.71.21
SerialNumber, MY56260108
Date, 11/19/2023 02:31:48 GMT+08:00

Source Name, Channel 1A

Points, 2048
Signal Type, Unspecified
Channel Bandwidth, 2E+10
Channel Noise, 6.66857143682292E-05
X Units, Second
Y Units, Volt
Data, 
1.73636E-07, -0.000691509581264249
1.73637953125E-07, -0.000679083635233907
1.7363990625E-07, -0.00079895534189496
1.73641859375E-07, -0.000434902459795034
1.736438125E-07, -0.000676446044229679
1.73645765625E-07, -0.000615389923589623
1.7364771875E-07, -0.000302247137920414
1.73649671875E-07, -0.000565182904731949
1.73651625E-07, -0.000541591960442294
1.73653578125E-07, -0.000590068329237229
1.7365553125E-07, -0.00103859386041993
1.73657484375E-07, -0.000130959802561981
1.736594375E-07, -0.000707144683968822
1.73661390625E-07, -0.000318000136180039
1.7366334375E-07, -0.00133849701988351
1.73665296875E-07, -0.000692987746939668
1.7366725E-07, -0.000466003061737007
1.73669203125E-07, -2.85966828133107E-05
1.7367115625E-07, -0.000633600330450135
1.73673109375E-07, -0.000527477956300462
1.736750625E-07, -0.000129108008539256
1.73677015625E-07, -0.000974642447282632
1.7367896875E-07, -0.000734877873762898
1.73680921875E-07, -0.000697584083731644
1.73682875E-07, -0.00150210457497
1.73684828125E-07, -0.00110391414527727
1.7368678125E-07, -0.00126815498005669
1.73688734375E-07, -0.00146656928619907
1.736906875E-07, -0.000122590057425419
1.73692640625E-07, -0.000808175786555253
1.7369459375E-07, -0.000907713455037117
1.73696546875E-07, -0.00102365714359706
1.736985E-07, -0.000665103894196124
1.73700453125E-07, -0.00108062472996493
1.7370240625E-07, -0.000976278400294706
1.73704359375E-07, -0.000898937833342658
1.737063125E-07, -0.00120702406177032
1.73708265625E-07, -0.00102392719199606
1.7371021875E-07, -0.00162320531964497
1.73712171875E-07, -0.000591102551121064
1.73714125E-07, -0.000566856044017871
1.73716078125E-07, -0.000347181036229996
1.7371803125E-07, -0.000757598692777733
1.73719984375E-07, -0.00145855881997387
1.737219375E-07, -0.000894315621076132
1.73723890625E-07, -0.00143752208791562
1.7372584375E-07, -0.00107524304351518
1.73727796875E-07, -0.000925027972986713
1.7372975E-07, -0.00160542470541183
1.73731703125E-07, -0.00184661507090523
1.7373365625E-07, -0.000621680146574684
1.73735609375E-07, -0.00134088538714625
1.737375625E-07, -0.000963846677101908
1.73739515625E-07, -0.00156529291829201
1.7374146875E-07, -0.00180874290646166
1.73743421875E-07, -0.00066521785232073
1.73745375E-07, -0.00158581717002536
1.73747328125E-07, -0.00176146648337603
1.7374928125E-07, -0.00101660409000163
1.73751234375E-07, -0.00160095435734932
1.737531875E-07, -0.00154484507278803
1.73755140625E-07, -0.00163792213554421
1.7375709375E-07, -0.00197407653901864
1.73759046875E-07, -0.00164918334262492
1.73761E-07, -0.00185649188135786
1.73762953125E-07, -0.00159442844252631
1.7376490625E-07, -0.00218652243573643
1.73766859375E-07, -0.00194610700139338
1.737688125E-07, -0.00189379920145553
1.73770765625E-07, -0.00219949155985627
1.7377271875E-07, -0.00195408240500094
1.73774671875E-07, -0.00207926242931382
1.73776625E-07, -0.00231346484296641
1.73778578125E-07, -0.00250628358822068
1.7378053125E-07, -0.00232260187900389
1.73782484375E-07, -0.00239009309943186
1.737844375E-07, -0.00209184369109874
1.73786390625E-07, -0.00225144562107385
1.7378834375E-07, -0.00285600320370502
1.73790296875E-07, -0.00282872009853523
1.7379225E-07, -0.0028385404994726
1.73794203125E-07, -0.00278367987093223
1.7379615625E-07, -0.00270886941250243
1.73798109375E-07, -0.00312838953512939
1.738000625E-07, -0.0032010228901625
1.73802015625E-07, -0.0029132263841557
1.7380396875E-07, -0.00293163932978879
1.73805921875E-07, -0.00294760125002508
1.73807875E-07, -0.00342013921544703
1.73809828125E-07, -0.00324319768212319
1.7381178125E-07, -0.00330397808686652
1.73813734375E-07, -0.00301967084456855
1.738156875E-07, -0.0034508354358132
1.73817640625E-07, -0.00386258697669394
1.7381959375E-07, -0.00367532700598721
