File Format, WaveformXYValues
Format Version, 1
Instrument, N1045A,04F,LOJ
SwVersion, A.06.71.21
SerialNumber, MY56260108
Date, 11/29/2023 14:27:13 GMT+08:00

Source Name, Channel 1A

Points, 2048
Signal Type, Unspecified
Channel Bandwidth, 2E+10
Channel Noise, 6.66857143682292E-05
X Units, Second
Y Units, Volt
Data, 
1.73636E-07, -0.00168740517302203
1.73637953125E-07, -0.00165655516834684
1.7363990625E-07, -0.00194122361074252
1.73641859375E-07, -0.00222801486332107
1.736438125E-07, -0.00199567584129151
1.73645765625E-07, -0.00165153103840668
1.7364771875E-07, -0.00141705219223252
1.73649671875E-07, -0.00194358992062662
1.73651625E-07, -0.00170120335712747
1.73653578125E-07, -0.00148501994169365
1.7365553125E-07, -0.00166162816186823
1.73657484375E-07, -0.00190317253221604
1.736594375E-07, -0.00180839535943151
1.73661390625E-07, -0.00152245587403455
1.7366334375E-07, -0.00177334700692901
1.73665296875E-07, -0.00165083660319107
1.7366725E-07, -0.00165156186231812
1.73669203125E-07, -0.00165713057836387
1.7367115625E-07, -0.00195825437893303
1.73673109375E-07, -0.00172527940167981
1.736750625E-07, -0.00188792790903119
1.73677015625E-07, -0.00170141772467816
1.7367896875E-07, -0.00202762381784242
1.73680921875E-07, -0.00197494744147264
1.73682875E-07, -0.00194524797981073
1.73684828125E-07, -0.00191095263747392
1.7368678125E-07, -0.00201924137079919
1.73688734375E-07, -0.0018923013060395
1.736906875E-07, -0.00185524201645441
1.73692640625E-07, -0.00176579032355266
1.7369459375E-07, -0.00265750493358088
1.73696546875E-07, -0.00239644064206107
1.736985E-07, -0.00211960743064179
1.73700453125E-07, -0.00181208963514399
1.7370240625E-07, -0.00205192791266843
1.73704359375E-07, -0.0021609534822522
1.737063125E-07, -0.00214474346005775
1.73708265625E-07, -0.00232182579714545
1.7371021875E-07, -0.00183184870346608
1.73712171875E-07, -0.00173679517409622
1.73714125E-07, -0.00184876063635967
1.73716078125E-07, -0.00214968052117634
1.7371803125E-07, -0.00209816107550725
1.73719984375E-07, -0.00218649079799082
1.737219375E-07, -0.00175382928022464
1.73723890625E-07, -0.00178933038276099
1.7372584375E-07, -0.00199882927252536
1.73727796875E-07, -0.00235840785863816
1.7372975E-07, -0.00211690728088889
1.73731703125E-07, -0.00244325267858586
1.7373365625E-07, -0.00200929424417254
1.73735609375E-07, -0.00216003942945689
1.737375625E-07, -0.0026372487756712
1.73739515625E-07, -0.00202042504216328
1.7374146875E-07, -0.0022426883761759
1.73743421875E-07, -0.00183443040092443
1.73745375E-07, -0.00241155289012243
1.73747328125E-07, -0.00224242871698376
1.7374928125E-07, -0.00217813463259127
1.73751234375E-07, -0.00194198776677694
1.737531875E-07, -0.00195923285562034
1.73755140625E-07, -0.00194543270347516
1.7375709375E-07, -0.00209601054911547
1.73759046875E-07, -0.00222245195606984
1.73761E-07, -0.00204596281665182
1.73762953125E-07, -0.0022946896355128
1.7376490625E-07, -0.00243696914439576
1.73766859375E-07, -0.00215502600821974
1.737688125E-07, -0.00192022624595851
1.73770765625E-07, -0.00242276567018168
1.7377271875E-07, -0.00213401071213966
1.73774671875E-07, -0.00233222448003065
1.73776625E-07, -0.0023001814716381
1.73778578125E-07, -0.00267701240918905
1.7378053125E-07, -0.00231963603123326
1.73782484375E-07, -0.00207948840755179
1.737844375E-07, -0.00241675896779805
1.73786390625E-07, -0.00212130587569006
1.7378834375E-07, -0.00232194098380847
1.73790296875E-07, -0.00199120713178562
1.7379225E-07, -0.0022849587335823
1.73794203125E-07, -0.00207675405522016
1.7379615625E-07, -0.00231792580476647
1.73798109375E-07, -0.00224647480819429
1.738000625E-07, -0.0026637088241804
1.73802015625E-07, -0.00243572741828536
1.7380396875E-07, -0.00254372000813336
1.73805921875E-07, -0.00259914409540852
1.73807875E-07, -0.00257797843209693
1.73809828125E-07, -0.00208925268454404
1.7381178125E-07, -0.00263746194913367
1.73813734375E-07, -0.00246323221243599
1.738156875E-07, -0.00289218507098975
1.73817640625E-07, -0.00238625356143601
1.7381959375E-07, -0.00299844077946538
