File Format, WaveformXYValues
Format Version, 1
Instrument, N1045A,04F,LOJ
SwVersion, A.06.71.21
SerialNumber, MY56260108
Date, 11/29/2023 13:37:07 GMT+08:00

Source Name, Channel 1A

Points, 2048
Signal Type, Unspecified
Channel Bandwidth, 2E+10
Channel Noise, 6.66857143682292E-05
X Units, Second
Y Units, Volt
Data, 
1.73636E-07, -0.00132634936771166
1.73637953125E-07, -0.00131238654004806
1.7363990625E-07, -0.00137219078686067
1.73641859375E-07, -0.00111960197398809
1.736438125E-07, -0.00149167554551778
1.73645765625E-07, -0.00147566842267427
1.7364771875E-07, -0.0012588982488603
1.73649671875E-07, -0.00112685554939671
1.73651625E-07, -0.0015321685539579
1.73653578125E-07, -0.00134355773014054
1.7365553125E-07, -0.00137621865214957
1.73657484375E-07, -0.00118383792953769
1.736594375E-07, -0.0017866710829429
1.73661390625E-07, -0.0015502943710547
1.7366334375E-07, -0.00115834910485285
1.73665296875E-07, -0.0012066403461205
1.7366725E-07, -0.00143127846082754
1.73669203125E-07, -0.00129073613359655
1.7367115625E-07, -0.00125965708281911
1.73673109375E-07, -0.00124158284913143
1.736750625E-07, -0.00106675819579189
1.73677015625E-07, -0.00110379485810446
1.7367896875E-07, -0.00146833294848778
1.73680921875E-07, -0.00128677514539425
1.73682875E-07, -0.00164184061420128
1.73684828125E-07, -0.00153167606568267
1.7368678125E-07, -0.00124942094296786
1.73688734375E-07, -0.0014497835760185
1.736906875E-07, -0.00124375107358164
1.73692640625E-07, -0.00175036486714147
1.7369459375E-07, -0.00131451470190071
1.73696546875E-07, -0.00140047399011557
1.736985E-07, -0.00137623397234896
1.73700453125E-07, -0.00165470388082025
1.7370240625E-07, -0.0014925840705302
1.73704359375E-07, -0.00124883177259261
1.737063125E-07, -0.00142278462152176
1.73708265625E-07, -0.0014399602746155
1.7371021875E-07, -0.00145670957947138
1.73712171875E-07, -0.00121039958848619
1.73714125E-07, -0.00154492021248429
1.73716078125E-07, -0.0018925640205886
1.7371803125E-07, -0.00133126404103802
1.73719984375E-07, -0.00106238441671519
1.737219375E-07, -0.00151055289860855
1.73723890625E-07, -0.00162402738535588
1.7372584375E-07, -0.00142260629590993
1.73727796875E-07, -0.00194308900616882
1.7372975E-07, -0.00151109296552573
1.73731703125E-07, -0.00142757289527507
1.7373365625E-07, -0.00154156220631425
1.73735609375E-07, -0.00164584045543877
1.737375625E-07, -0.00142930147022434
1.73739515625E-07, -0.00143560612212281
1.7374146875E-07, -0.0017525367713054
1.73743421875E-07, -0.00140894709195548
1.73745375E-07, -0.00133047204342853
1.73747328125E-07, -0.00151634315724202
1.7374928125E-07, -0.00154876171504258
1.73751234375E-07, -0.00162292720735061
1.737531875E-07, -0.00178558947358394
1.73755140625E-07, -0.00168012908719287
1.7375709375E-07, -0.00157941860485953
1.73759046875E-07, -0.0015787911135476
1.73761E-07, -0.00171180610978524
1.73762953125E-07, -0.00165366408803906
1.7376490625E-07, -0.00203526639449186
1.73766859375E-07, -0.00188898721866583
1.737688125E-07, -0.00163358607394041
1.73770765625E-07, -0.00173757942058666
1.7377271875E-07, -0.00148125890966654
1.73774671875E-07, -0.00163134200859209
1.73776625E-07, -0.00186804676860027
1.73778578125E-07, -0.0021277213369599
1.7378053125E-07, -0.00176184201980605
1.73782484375E-07, -0.00195861148696254
1.737844375E-07, -0.00147579375399756
1.73786390625E-07, -0.00186474525943375
1.7378834375E-07, -0.00205583921753702
1.73790296875E-07, -0.00150406516693203
1.7379225E-07, -0.00200039617514365
1.73794203125E-07, -0.00218241736778777
1.7379615625E-07, -0.00187325688294173
1.73798109375E-07, -0.00220116975187922
1.738000625E-07, -0.00211745772753665
1.73802015625E-07, -0.00195120451863476
1.7380396875E-07, -0.00186670388391024
1.73805921875E-07, -0.00205918746938498
1.73807875E-07, -0.00195859758315386
1.73809828125E-07, -0.00173143413667805
1.7381178125E-07, -0.00208816886932703
1.73813734375E-07, -0.0021853063346185
1.738156875E-07, -0.00232344920593999
1.73817640625E-07, -0.00246084724126897
1.7381959375E-07, -0.00267512965339888
