File Format, WaveformXYValues
Format Version, 1
Instrument, N1045A,04F,LOJ
SwVersion, A.06.71.21
SerialNumber, MY56260108
Date, 11/29/2023 14:42:08 GMT+08:00

Source Name, Channel 1A

Points, 2048
Signal Type, Unspecified
Channel Bandwidth, 2E+10
Channel Noise, 6.66857143682292E-05
X Units, Second
Y Units, Volt
Data, 
1.73636E-07, -0.00127516630184271
1.73637953125E-07, -0.00130155200175706
1.7363990625E-07, -0.00138586790410641
1.73641859375E-07, -0.00144820302316991
1.736438125E-07, -0.00136200794881568
1.73645765625E-07, -0.0014867714928044
1.7364771875E-07, -0.0014293858496075
1.73649671875E-07, -0.00170614792920404
1.73651625E-07, -0.00139481916947375
1.73653578125E-07, -0.00151135731628473
1.7365553125E-07, -0.00129166293863391
1.73657484375E-07, -0.00156752232640109
1.736594375E-07, -0.0014628930843236
1.73661390625E-07, -0.00146417770769431
1.7366334375E-07, -0.00156811228057923
1.73665296875E-07, -0.00111761723445385
1.7366725E-07, -0.00163408841413918
1.73669203125E-07, -0.00159660235851496
1.7367115625E-07, -0.00125789867947532
1.73673109375E-07, -0.00142557294076949
1.736750625E-07, -0.00155520889326346
1.73677015625E-07, -0.00146798775925188
1.7367896875E-07, -0.00171293087160228
1.73680921875E-07, -0.00120675517037842
1.73682875E-07, -0.00159097674884917
1.73684828125E-07, -0.00202206675859952
1.7368678125E-07, -0.00134477890715766
1.73688734375E-07, -0.00186644485913074
1.736906875E-07, -0.00135268420102163
1.73692640625E-07, -0.0018125075967334
1.7369459375E-07, -0.00162033371089006
1.73696546875E-07, -0.00147555200012298
1.736985E-07, -0.00149875729856541
1.73700453125E-07, -0.00154509585877381
1.7370240625E-07, -0.00134753410747241
1.73704359375E-07, -0.00154590017861415
1.737063125E-07, -0.00133868358668302
1.73708265625E-07, -0.00159171640709919
1.7371021875E-07, -0.0011776152633883
1.73712171875E-07, -0.00192201887895665
1.73714125E-07, -0.00160629932877595
1.73716078125E-07, -0.00168540820071494
1.7371803125E-07, -0.00151432438976752
1.73719984375E-07, -0.00156809206566574
1.737219375E-07, -0.0017513758825303
1.73723890625E-07, -0.00194176037132468
1.7372584375E-07, -0.00169006392236484
1.73727796875E-07, -0.00181479285025342
1.7372975E-07, -0.00138318322848693
1.73731703125E-07, -0.00171993482030301
1.7373365625E-07, -0.00189241822753922
1.73735609375E-07, -0.00204434629300846
1.737375625E-07, -0.00156133282587984
1.73739515625E-07, -0.00117620752117984
1.7374146875E-07, -0.00165429763898851
1.73743421875E-07, -0.00138105051889299
1.73745375E-07, -0.00191850556061765
1.73747328125E-07, -0.00164664690922086
1.7374928125E-07, -0.00164252639679205
1.73751234375E-07, -0.00239408219422674
1.737531875E-07, -0.00106604885923371
1.73755140625E-07, -0.000812342787069628
1.7375709375E-07, -0.00245256713020229
1.73759046875E-07, -0.0015828358575437
1.73761E-07, -0.00126788590071211
1.73762953125E-07, -0.00169213568481689
1.7376490625E-07, -0.00154226202723943
1.73766859375E-07, -0.00168121010014347
1.737688125E-07, -0.00201985564483585
1.73770765625E-07, -0.00131177392386767
1.7377271875E-07, -0.00188901687835155
1.73774671875E-07, -0.00197034077095408
1.73776625E-07, -0.00139585127736359
1.73778578125E-07, -0.00132697501168257
1.7378053125E-07, -0.00153812067955371
1.73782484375E-07, -0.00165449686995708
1.737844375E-07, -0.00149900398016284
1.73786390625E-07, -0.0016074878997744
1.7378834375E-07, -0.00175333016676146
1.73790296875E-07, -0.00178556071942091
1.7379225E-07, -0.00104040442144588
1.73794203125E-07, -0.00188497636842903
1.7379615625E-07, -0.00124588143856371
1.73798109375E-07, -0.00156757882165714
1.738000625E-07, -0.00183459495404284
1.73802015625E-07, -0.00144179109737168
1.7380396875E-07, -0.00176960585430961
1.73805921875E-07, -0.00167192565321868
1.73807875E-07, -0.00190445869884157
1.73809828125E-07, -0.00199699635872268
1.7381178125E-07, -0.0015526384566848
1.73813734375E-07, -0.0017163539783673
1.738156875E-07, -0.00179197029106958
1.73817640625E-07, -0.0020254980784003
1.7381959375E-07, -0.00203421923734669
