File Format, WaveformXYValues
Format Version, 1
Instrument, N1045A,04F,LOJ
SwVersion, A.06.71.21
SerialNumber, MY56260108
Date, 11/29/2023 14:42:53 GMT+08:00

Source Name, Channel 1A

Points, 2048
Signal Type, Unspecified
Channel Bandwidth, 2E+10
Channel Noise, 6.66857143682292E-05
X Units, Second
Y Units, Volt
Data, 
1.73636E-07, -0.000918594613871339
1.73637953125E-07, -0.00161571274643343
1.7363990625E-07, -0.00201708479923846
1.73641859375E-07, -0.00093861232455253
1.736438125E-07, -0.00250099574584862
1.73645765625E-07, -0.0014173669731859
1.7364771875E-07, -0.0018733025887554
1.73649671875E-07, -0.000884459959121697
1.73651625E-07, -0.00158192827450518
1.73653578125E-07, -0.00134444887417954
1.7365553125E-07, -0.0012206761062974
1.73657484375E-07, -0.00157889098017251
1.736594375E-07, -0.00110141173708689
1.73661390625E-07, -0.00133819779937779
1.7366334375E-07, -0.00143176278929219
1.73665296875E-07, -0.00177617419836395
1.7366725E-07, -0.00128168334983402
1.73669203125E-07, -0.000835249665177329
1.7367115625E-07, -0.00165406572976688
1.73673109375E-07, -0.00173458225717098
1.736750625E-07, -0.00290876482549508
1.73677015625E-07, -0.00136713439736383
1.7367896875E-07, -0.00190349130826686
1.73680921875E-07, -0.00235261152171043
1.73682875E-07, -0.00153478919079904
1.73684828125E-07, -0.00237506415283506
1.7368678125E-07, -0.00213783180307821
1.73688734375E-07, -0.000917694130677363
1.736906875E-07, -0.00139349434389827
1.73692640625E-07, -0.0017336729475253
1.7369459375E-07, -0.000810568741592977
1.73696546875E-07, -0.00103185778595805
1.736985E-07, -0.00120629390885963
1.73700453125E-07, -0.00161999225931798
1.7370240625E-07, -0.0017086779035737
1.73704359375E-07, -0.000560768666137768
1.737063125E-07, -0.00153781670503503
1.73708265625E-07, -0.0010610257540343
1.7371021875E-07, -0.000580942631956817
1.73712171875E-07, -0.00084510706164462
1.73714125E-07, -0.00180029008409788
1.73716078125E-07, -0.0018569562806298
1.7371803125E-07, -0.00199623219267965
1.73719984375E-07, -0.00156721700479521
1.737219375E-07, -0.00169025042201122
1.73723890625E-07, -0.000989721196033381
1.7372584375E-07, -0.00261860243475004
1.73727796875E-07, -0.00160643891695003
1.7372975E-07, -0.00150537174435429
1.73731703125E-07, -0.00147104133615392
1.7373365625E-07, -0.00119148267574924
1.73735609375E-07, -0.00164630346024137
1.737375625E-07, -0.00149082751692584
1.73739515625E-07, -0.00148562791387682
1.7374146875E-07, -0.00144993526191123
1.73743421875E-07, -0.00117392986457225
1.73745375E-07, -0.00288239294044167
1.73747328125E-07, -0.00120635483816238
1.7374928125E-07, -0.00244103195597612
1.73751234375E-07, -0.000628310099400889
1.737531875E-07, -0.0002811452669833
1.73755140625E-07, -0.00134225495159083
1.7375709375E-07, -0.00174334280730577
1.73759046875E-07, -0.00282019772901378
1.73761E-07, -0.00129953395160818
1.73762953125E-07, -0.00205514812096435
1.7376490625E-07, -0.00156029471666097
1.73766859375E-07, -0.00141175284938346
1.737688125E-07, -0.000953914926715865
1.73770765625E-07, -0.00169872830312627
1.7377271875E-07, -0.000560691843563516
1.73774671875E-07, -0.00264520988866363
1.73776625E-07, -0.00175557994241651
1.73778578125E-07, -0.00206340093486821
1.7378053125E-07, -0.00124473781082289
1.73782484375E-07, -0.00225527915785537
1.737844375E-07, -0.00147968659964266
1.73786390625E-07, -0.00116657592270406
1.7378834375E-07, -0.0027073288748564
1.73790296875E-07, -0.00184108688970862
1.7379225E-07, -0.00175067818191348
1.73794203125E-07, -0.00128702868718743
1.7379615625E-07, -0.00194341862306633
1.73798109375E-07, -0.00158099405624936
1.738000625E-07, -0.00223683723444513
1.73802015625E-07, -0.00208916096186411
1.7380396875E-07, -0.00107516026181498
1.73805921875E-07, -0.00144353336096149
1.73807875E-07, -0.00208533337846352
1.73809828125E-07, -0.000745645403428786
1.7381178125E-07, -0.00178236931325359
1.73813734375E-07, -0.00180684583418163
1.738156875E-07, -0.00230968048016339
1.73817640625E-07, -0.00257844078799826
1.7381959375E-07, -0.00177858899373364
