File Format, WaveformXYValues
Format Version, 1
Instrument, N1045A,04F,LOJ
SwVersion, A.06.71.21
SerialNumber, MY56260108
Date, 11/29/2023 14:27:58 GMT+08:00

Source Name, Channel 1A

Points, 2048
Signal Type, Unspecified
Channel Bandwidth, 2E+10
Channel Noise, 6.66857143682292E-05
X Units, Second
Y Units, Volt
Data, 
1.73636E-07, -0.00128590640289629
1.73637953125E-07, -0.00128590452637917
1.7363990625E-07, -0.00151992567249221
1.73641859375E-07, -0.000994181086424397
1.736438125E-07, -0.000588001002073045
1.73645765625E-07, -0.00181909287320747
1.7364771875E-07, -0.000949901577853454
1.73649671875E-07, -0.0017140763999907
1.73651625E-07, -0.00224612439191207
1.73653578125E-07, -0.00171002753030936
1.7365553125E-07, -0.00189467246742952
1.73657484375E-07, -0.0013410523001586
1.736594375E-07, -0.000973358363052732
1.73661390625E-07, -0.00194004405926248
1.7366334375E-07, -0.00112830711915664
1.73665296875E-07, -0.00170884990332889
1.7366725E-07, -0.00117450467838921
1.73669203125E-07, -0.00130518077141763
1.7367115625E-07, -0.00113121392140782
1.73673109375E-07, -0.00190705166531471
1.736750625E-07, -0.00206337891999162
1.73677015625E-07, -0.00142580554322089
1.7367896875E-07, -0.00105443861850733
1.73680921875E-07, -0.0020761599756107
1.73682875E-07, -0.00241732256856303
1.73684828125E-07, -0.00161343079636124
1.7368678125E-07, -0.00160558561992113
1.73688734375E-07, -0.00121877422215697
1.736906875E-07, -0.00136964316120452
1.73692640625E-07, -0.00151294549297348
1.7369459375E-07, -0.00128853969438801
1.73696546875E-07, -0.00172224107180912
1.736985E-07, -0.00155067510147053
1.73700453125E-07, -0.00184337716103478
1.7370240625E-07, -0.00170003805500686
1.73704359375E-07, -0.0015510840881248
1.737063125E-07, -0.0016052847921994
1.73708265625E-07, -0.00147811628365257
1.7371021875E-07, -0.00141834943498502
1.73712171875E-07, -0.00177030675689244
1.73714125E-07, -0.00155137209678761
1.73716078125E-07, -0.00162227697276589
1.7371803125E-07, -0.00137767819510013
1.73719984375E-07, -0.00142474085505243
1.737219375E-07, -0.00168611367894839
1.73723890625E-07, -0.00175828034972328
1.7372584375E-07, -0.00182542829490807
1.73727796875E-07, -0.001518371835744
1.7372975E-07, -0.00149732019183355
1.73731703125E-07, -0.00139617336181235
1.7373365625E-07, -0.00195049967158209
1.73735609375E-07, -0.00170172921247478
1.737375625E-07, -0.00177320435718706
1.73739515625E-07, -0.00137390987161296
1.7374146875E-07, -0.00207874154876863
1.73743421875E-07, -0.00189965349914838
1.73745375E-07, -0.00179702965949496
1.73747328125E-07, -0.00184576260600102
1.7374928125E-07, -0.00220499290739183
1.73751234375E-07, -0.00204977059016115
1.737531875E-07, -0.00191579169555686
1.73755140625E-07, -0.00194080536557719
1.7375709375E-07, -0.00185152231580702
1.73759046875E-07, -0.00197242993269651
1.73761E-07, -0.00200332447145874
1.73762953125E-07, -0.00173274536776206
1.7376490625E-07, -0.00231809246797394
1.73766859375E-07, -0.00202875969668418
1.737688125E-07, -0.00209638634192026
1.73770765625E-07, -0.00202296858623973
1.7377271875E-07, -0.00191508515512035
1.73774671875E-07, -0.00188297744771862
1.73776625E-07, -0.00205938826421938
1.73778578125E-07, -0.00165188687932915
1.7378053125E-07, -0.00218321832206228
1.73782484375E-07, -0.00213948786410522
1.737844375E-07, -0.002067082370012
1.73786390625E-07, -0.0022164868605618
1.7378834375E-07, -0.00198771765315683
1.73790296875E-07, -0.00218794619389016
1.7379225E-07, -0.00209525969708242
1.73794203125E-07, -0.00217122557527316
1.7379615625E-07, -0.00219908601185714
1.73798109375E-07, -0.00205144208544682
1.738000625E-07, -0.00221065393407164
1.73802015625E-07, -0.00217386472022717
1.7380396875E-07, -0.00212954192500252
1.73805921875E-07, -0.00271589080869618
1.73807875E-07, -0.00244107999978523
1.73809828125E-07, -0.0023849990716084
1.7381178125E-07, -0.00269886692134708
1.73813734375E-07, -0.00271666477797671
1.738156875E-07, -0.00220648287324571
1.73817640625E-07, -0.0025732094150838
1.7381959375E-07, -0.00257266341006863
