File Format, WaveformXYValues
Format Version, 1
Instrument, N1045A,04F,LOJ
SwVersion, A.06.71.21
SerialNumber, MY56260108
Date, 11/29/2023 13:20:58 GMT+08:00

Source Name, Channel 1A

Points, 2048
Signal Type, Unspecified
Channel Bandwidth, 2E+10
Channel Noise, 6.66857143682292E-05
X Units, Second
Y Units, Volt
Data, 
1.73636E-07, -0.00100491039303377
1.73637953125E-07, -0.00119841386875276
1.7363990625E-07, -0.00118835159184052
1.73641859375E-07, -0.00163348647318835
1.736438125E-07, -0.00117913746041088
1.73645765625E-07, -0.00109667270795584
1.7364771875E-07, -0.0013321328631558
1.73649671875E-07, -0.00137755468502837
1.73651625E-07, -0.00105306780882499
1.73653578125E-07, -0.00135782926952277
1.7365553125E-07, -0.00114740813941499
1.73657484375E-07, -0.00114327815174862
1.736594375E-07, -0.00115519634946396
1.73661390625E-07, -0.00150340021444405
1.7366334375E-07, -0.00132465473106151
1.73665296875E-07, -0.00124392617731712
1.7366725E-07, -0.00122044549507232
1.73669203125E-07, -0.00137424595318157
1.7367115625E-07, -0.00108298836843101
1.73673109375E-07, -0.00107766143271066
1.736750625E-07, -0.00128376496652615
1.73677015625E-07, -0.000963883622252583
1.7367896875E-07, -0.00121692773554268
1.73680921875E-07, -0.00131258054468845
1.73682875E-07, -0.0011585631182297
1.73684828125E-07, -0.00163962789623486
1.7368678125E-07, -0.00134074481602819
1.73688734375E-07, -0.00136392291775911
1.736906875E-07, -0.00131689166145712
1.73692640625E-07, -0.00160234595654001
1.7369459375E-07, -0.000622746809622498
1.73696546875E-07, -0.000880323115671467
1.736985E-07, -0.00156560576280396
1.73700453125E-07, -0.00117792662431489
1.7370240625E-07, -0.00206239885619699
1.73704359375E-07, -0.00184211162127061
1.737063125E-07, -0.00133108699694085
1.73708265625E-07, -0.00130803304381583
1.7371021875E-07, -0.00102594422545481
1.73712171875E-07, -0.00122639259902611
1.73714125E-07, -0.00174850855884725
1.73716078125E-07, -0.000489401073306407
1.7371803125E-07, -0.00108821579533893
1.73719984375E-07, -0.00108091103467407
1.737219375E-07, -0.00115649228036559
1.73723890625E-07, -0.00215851185170725
1.7372584375E-07, -0.0016965591115689
1.73727796875E-07, -0.00162124815826934
1.7372975E-07, -0.0011300003080128
1.73731703125E-07, -0.000787686388652646
1.7373365625E-07, -0.00147746749034332
1.73735609375E-07, -0.00101450296168704
1.737375625E-07, -0.00180170271536943
1.73739515625E-07, -0.00161759312589734
1.7374146875E-07, -0.00162060152249963
1.73743421875E-07, -0.000802646219033546
1.73745375E-07, -0.00107672758423856
1.73747328125E-07, -0.00181819797343141
1.7374928125E-07, -0.00134620877452766
1.73751234375E-07, -0.00093911055125565
1.737531875E-07, -0.00181731890740453
1.73755140625E-07, -0.00135086823284775
1.7375709375E-07, -0.00138769976580669
1.73759046875E-07, -0.00122610578270881
1.73761E-07, -0.00163907972742671
1.73762953125E-07, -0.00121346632360651
1.7376490625E-07, -0.00256261689773896
1.73766859375E-07, -0.00165259891157725
1.737688125E-07, -0.00158090153075364
1.73770765625E-07, -0.00236837433728624
1.7377271875E-07, -0.00105863287579282
1.73774671875E-07, -0.00161002346560642
1.73776625E-07, -0.00162678994259817
1.73778578125E-07, -0.00197054784742786
1.7378053125E-07, -0.00214057728099332
1.73782484375E-07, -0.00222120711181239
1.737844375E-07, -0.00243108953816343
1.73786390625E-07, -0.00205352820238738
1.7378834375E-07, -0.00206225864174454
1.73790296875E-07, -0.00193868669024771
1.7379225E-07, -0.00208654844774684
1.73794203125E-07, -0.00209241599435895
1.7379615625E-07, -0.00205659388978843
1.73798109375E-07, -0.00200977190530903
1.738000625E-07, -0.00195418473736067
1.73802015625E-07, -0.00225889254104452
1.7380396875E-07, -0.00239969106342175
1.73805921875E-07, -0.00211995322191586
1.73807875E-07, -0.00261977856319074
1.73809828125E-07, -0.00225456001853948
1.7381178125E-07, -0.00233412278939575
1.73813734375E-07, -0.00248242497868356
1.738156875E-07, -0.00235355650250548
1.73817640625E-07, -0.00251387277970217
1.7381959375E-07, -0.00246285394075505
