File Format, WaveformXYValues
Format Version, 1
Instrument, N1045A,04F,LOJ
SwVersion, A.06.71.21
SerialNumber, MY56260108
Date, 11/29/2023 14:08:56 GMT+08:00

Source Name, Channel 1A

Points, 2048
Signal Type, Unspecified
Channel Bandwidth, 2E+10
Channel Noise, 6.66857143682292E-05
X Units, Second
Y Units, Volt
Data, 
1.73636E-07, -0.00150153601749046
1.73637953125E-07, -0.000894176647015226
1.7363990625E-07, -0.000952140484743192
1.73641859375E-07, -0.000878654338380022
1.736438125E-07, -0.00156089815037743
1.73645765625E-07, -0.0015886842180901
1.7364771875E-07, -0.00129501399293326
1.73649671875E-07, -0.00133375496979315
1.73651625E-07, -0.000809862061129291
1.73653578125E-07, -0.000758669370246697
1.7365553125E-07, -0.00144572361447019
1.73657484375E-07, -0.00158500211921737
1.736594375E-07, -0.00186205404862718
1.73661390625E-07, -0.00110909663923502
1.7366334375E-07, -0.00131965098985897
1.73665296875E-07, -0.0012685459846655
1.7366725E-07, -0.00118704497647121
1.73669203125E-07, -0.00124555850094368
1.7367115625E-07, -0.00121520296909758
1.73673109375E-07, -0.00113470910785826
1.736750625E-07, -0.00134008569413798
1.73677015625E-07, -0.001018434678524
1.7367896875E-07, -0.00120099361253887
1.73680921875E-07, -0.00129589423108951
1.73682875E-07, -0.00136639357697161
1.73684828125E-07, -0.00111037355793508
1.7368678125E-07, -0.0014347419051942
1.73688734375E-07, -0.00123795274233413
1.736906875E-07, -0.00122580748617528
1.73692640625E-07, -0.00139237519245197
1.7369459375E-07, -0.00126668962100669
1.73696546875E-07, -0.00145198323477156
1.736985E-07, -0.00162714302139348
1.73700453125E-07, -0.00127945422867425
1.7370240625E-07, -0.00116821419558139
1.73704359375E-07, -0.00160662355444239
1.737063125E-07, -0.000875787818086329
1.73708265625E-07, -0.00111227572903981
1.7371021875E-07, -0.00144821246696694
1.73712171875E-07, -0.00155317317630278
1.73714125E-07, -0.00148020588966514
1.73716078125E-07, -0.00144867527648857
1.7371803125E-07, -0.00151009199430167
1.73719984375E-07, -0.00151501902331757
1.737219375E-07, -0.00113946579509534
1.73723890625E-07, -0.00141693695783091
1.7372584375E-07, -0.000866826725940937
1.73727796875E-07, -0.00250374643943241
1.7372975E-07, -0.00127198255387718
1.73731703125E-07, -0.00158528631088697
1.7373365625E-07, -0.00203173323235951
1.73735609375E-07, -0.00172264920339143
1.737375625E-07, -0.00127322950517912
1.73739515625E-07, -0.0020147493836801
1.7374146875E-07, -0.00110037133297865
1.73743421875E-07, -0.000933063847646259
1.73745375E-07, -0.0011728311179993
1.73747328125E-07, -0.00126533815835454
1.7374928125E-07, -0.00163638258633323
1.73751234375E-07, -0.00143621582087086
1.737531875E-07, -0.00139934280606137
1.73755140625E-07, -0.00184788941623523
1.7375709375E-07, -0.00213210243159004
1.73759046875E-07, -0.0015822726294491
1.73761E-07, -0.00129220695528055
1.73762953125E-07, -0.00072843076181952
1.7376490625E-07, -0.00194942380891372
1.73766859375E-07, -0.00135681432759152
1.737688125E-07, -0.00166135056726765
1.73770765625E-07, -0.00133639979295372
1.7377271875E-07, -0.00155525188375057
1.73774671875E-07, -0.00145017875119758
1.73776625E-07, -0.00114414944877007
1.73778578125E-07, -0.00200216028402133
1.7378053125E-07, -0.00154710497029858
1.73782484375E-07, -0.00198335422031803
1.737844375E-07, -0.00264761639455449
1.73786390625E-07, -0.00179523794155516
1.7378834375E-07, -0.00134175418651064
1.73790296875E-07, -0.00229545799727671
1.7379225E-07, -0.00185044110316512
1.73794203125E-07, -0.00218232747068354
1.7379615625E-07, -0.00208191808532356
1.73798109375E-07, -0.00160732440143163
1.738000625E-07, -0.0020147240623828
1.73802015625E-07, -0.00223652639004345
1.7380396875E-07, -0.00210760430794237
1.73805921875E-07, -0.00200653667221529
1.73807875E-07, -0.00215876701305251
1.73809828125E-07, -0.00189691575162748
1.7381178125E-07, -0.00219622143991808
1.73813734375E-07, -0.00235275179375282
1.738156875E-07, -0.00179444643823217
1.73817640625E-07, -0.00272470175057032
1.7381959375E-07, -0.00186498306176088
