File Format, WaveformXYValues
Format Version, 1
Instrument, N1045A,04F,LOJ
SwVersion, A.06.71.21
SerialNumber, MY56260108
Date, 11/29/2023 14:36:21 GMT+08:00

Source Name, Channel 1A

Points, 2048
Signal Type, Unspecified
Channel Bandwidth, 2E+10
Channel Noise, 6.66857143682292E-05
X Units, Second
Y Units, Volt
Data, 
1.73636E-07, -0.00126836011136355
1.73637953125E-07, -0.00147072367917381
1.7363990625E-07, -0.00128385600776431
1.73641859375E-07, -0.00140667960839346
1.736438125E-07, -0.00139719669756271
1.73645765625E-07, -0.00135528404889184
1.7364771875E-07, -0.00126693563100787
1.73649671875E-07, -0.00195013158583081
1.73651625E-07, -0.00172928318550761
1.73653578125E-07, -0.00114504086298236
1.7365553125E-07, -0.00108186290127954
1.73657484375E-07, -0.00138280477143159
1.736594375E-07, -0.00132812577166179
1.73661390625E-07, -0.00137039630946123
1.7366334375E-07, -0.0016126145038826
1.73665296875E-07, -0.00158152096239002
1.7366725E-07, -0.00143892535413085
1.73669203125E-07, -0.00147117690169378
1.7367115625E-07, -0.00184218177533698
1.73673109375E-07, -0.00158927437672021
1.736750625E-07, -0.00153972289629304
1.73677015625E-07, -0.00155721731303081
1.7367896875E-07, -0.00109524716604465
1.73680921875E-07, -0.00138383894005819
1.73682875E-07, -0.00158629532992222
1.73684828125E-07, -0.00135448464722308
1.7368678125E-07, -0.00158546536044
1.73688734375E-07, -0.00170841520045039
1.736906875E-07, -0.00124628716384291
1.73692640625E-07, -0.00170483404045373
1.7369459375E-07, -0.00166476899912318
1.73696546875E-07, -0.00158701121333811
1.736985E-07, -0.0016251073724729
1.73700453125E-07, -0.00148714039286516
1.7370240625E-07, -0.00150478052089302
1.73704359375E-07, -0.00127138384800055
1.737063125E-07, -0.00211702655792998
1.73708265625E-07, -0.00193418904514517
1.7371021875E-07, -0.00185003390844637
1.73712171875E-07, -0.00160383158049058
1.73714125E-07, -0.0013263630168655
1.73716078125E-07, -0.00159734653828463
1.7371803125E-07, -0.00150519398416584
1.73719984375E-07, -0.00172411789829671
1.737219375E-07, -0.00159780279241273
1.73723890625E-07, -0.00156871363815589
1.7372584375E-07, -0.00147967411486773
1.73727796875E-07, -0.00161322304428965
1.7372975E-07, -0.00197360792657983
1.73731703125E-07, -0.00177287634180624
1.7373365625E-07, -0.00129917222069753
1.73735609375E-07, -0.0017101062924965
1.737375625E-07, -0.00151278103773861
1.73739515625E-07, -0.00179598200513812
1.7374146875E-07, -0.00196195374350394
1.73743421875E-07, -0.00170654580366534
1.73745375E-07, -0.00158556279775991
1.73747328125E-07, -0.00180111981392585
1.7374928125E-07, -0.00204965063790596
1.73751234375E-07, -0.00184971821649862
1.737531875E-07, -0.00170562541956861
1.73755140625E-07, -0.0020329329705335
1.7375709375E-07, -0.00172268168405544
1.73759046875E-07, -0.00137730798652087
1.73761E-07, -0.00203913439320823
1.73762953125E-07, -0.00215388504252708
1.7376490625E-07, -0.00171042413123584
1.73766859375E-07, -0.00202456889505605
1.737688125E-07, -0.00201299004492218
1.73770765625E-07, -0.00185111449577761
1.7377271875E-07, -0.00146085508448532
1.73774671875E-07, -0.00197453811948706
1.73776625E-07, -0.00194332684327602
1.73778578125E-07, -0.00234897122024708
1.7378053125E-07, -0.00201241082114502
1.73782484375E-07, -0.00175977313511779
1.737844375E-07, -0.00162586714785672
1.73786390625E-07, -0.00209663016048424
1.7378834375E-07, -0.00185913032060707
1.73790296875E-07, -0.00190348888786671
1.7379225E-07, -0.00200143486370901
1.73794203125E-07, -0.00268580975834597
1.7379615625E-07, -0.00193810601829449
1.73798109375E-07, -0.00238731977763355
1.738000625E-07, -0.00220037419742842
1.73802015625E-07, -0.00267662035790523
1.7380396875E-07, -0.00227147299386703
1.73805921875E-07, -0.00262610942487147
1.73807875E-07, -0.00268012363591406
1.73809828125E-07, -0.00195761374255094
1.7381178125E-07, -0.00265792996565135
1.73813734375E-07, -0.00207852559182237
1.738156875E-07, -0.00234952169201042
1.73817640625E-07, -0.00283894175600821
1.7381959375E-07, -0.00281378499741258
