File Format, WaveformXYValues
Format Version, 1
Instrument, N1045A,04F,LOJ
SwVersion, A.06.71.21
SerialNumber, MY56260108
Date, 11/29/2023 13:54:09 GMT+08:00

Source Name, Channel 1A

Points, 2048
Signal Type, Unspecified
Channel Bandwidth, 2E+10
Channel Noise, 6.66857143682292E-05
X Units, Second
Y Units, Volt
Data, 
1.73636E-07, -0.00138017724539244
1.73637953125E-07, -0.001569776699792
1.7363990625E-07, -0.00183809776378828
1.73641859375E-07, -0.00127692727684848
1.736438125E-07, -0.00154861825062637
1.73645765625E-07, -0.00171901386604273
1.7364771875E-07, -0.0013667081330602
1.73649671875E-07, -0.00146421307628727
1.73651625E-07, -0.00182278072213436
1.73653578125E-07, -0.00143709654187571
1.7365553125E-07, -0.0012078083904119
1.73657484375E-07, -0.00116522952043293
1.736594375E-07, -0.00115623639416606
1.73661390625E-07, -0.00175770474299577
1.7366334375E-07, -0.00156207452862613
1.73665296875E-07, -0.00145842277521278
1.7366725E-07, -0.0014568607219029
1.73669203125E-07, -0.00146728099441043
1.7367115625E-07, -0.00127355442615494
1.73673109375E-07, -0.00134319397529947
1.736750625E-07, -0.00165880049163937
1.73677015625E-07, -0.00159610169503384
1.7367896875E-07, -0.00178761326296929
1.73680921875E-07, -0.0017007978904667
1.73682875E-07, -0.00137853937631305
1.73684828125E-07, -0.00172233619933967
1.7368678125E-07, -0.00179030236537365
1.73688734375E-07, -0.00126588164197913
1.736906875E-07, -0.00176526741029925
1.73692640625E-07, -0.00157042723572494
1.7369459375E-07, -0.001851815040231
1.73696546875E-07, -0.00189114027303948
1.736985E-07, -0.00172911992883704
1.73700453125E-07, -0.00140797191416784
1.7370240625E-07, -0.00158240528198847
1.73704359375E-07, -0.00171586233599899
1.737063125E-07, -0.00148325447307653
1.73708265625E-07, -0.00169439139474514
1.7371021875E-07, -0.0017412849636155
1.73712171875E-07, -0.00205632312289045
1.73714125E-07, -0.00193199158532441
1.73716078125E-07, -0.00150544599250011
1.7371803125E-07, -0.0014418921322543
1.73719984375E-07, -0.00177660596211849
1.737219375E-07, -0.00187298770600237
1.73723890625E-07, -0.00160077266412665
1.7372584375E-07, -0.00193871457490494
1.73727796875E-07, -0.00183777624156577
1.7372975E-07, -0.00197139454905423
1.73731703125E-07, -0.00185246092603846
1.7373365625E-07, -0.00176884223642374
1.73735609375E-07, -0.00213635288363612
1.737375625E-07, -0.0017023327436524
1.73739515625E-07, -0.00184717886417134
1.7374146875E-07, -0.00173535870163317
1.73743421875E-07, -0.0018629488333645
1.73745375E-07, -0.00148658740803849
1.73747328125E-07, -0.00171636561362997
1.7374928125E-07, -0.00179245913092066
1.73751234375E-07, -0.00170197420343714
1.737531875E-07, -0.00139938660559491
1.73755140625E-07, -0.00172918387564416
1.7375709375E-07, -0.00170115940722812
1.73759046875E-07, -0.00187437864268014
1.73761E-07, -0.00174183331600638
1.73762953125E-07, -0.00170414060574142
1.7376490625E-07, -0.00181890753797426
1.73766859375E-07, -0.00182920752459603
1.737688125E-07, -0.00197299656588015
1.73770765625E-07, -0.00193735868457356
1.7377271875E-07, -0.00193013438624175
1.73774671875E-07, -0.00187870113861298
1.73776625E-07, -0.00204525018907219
1.73778578125E-07, -0.00199675094675037
1.7378053125E-07, -0.00178225380713941
1.73782484375E-07, -0.00190341018328079
1.737844375E-07, -0.00186811617433354
1.73786390625E-07, -0.00168239544370868
1.7378834375E-07, -0.00203355760323618
1.73790296875E-07, -0.00178646473310481
1.7379225E-07, -0.00175665156794619
1.73794203125E-07, -0.00181875972698854
1.7379615625E-07, -0.00185225022639945
1.73798109375E-07, -0.00193310146897759
1.738000625E-07, -0.00178062205651729
1.73802015625E-07, -0.00196605289173976
1.7380396875E-07, -0.00218469722042235
1.73805921875E-07, -0.00183646125336858
1.73807875E-07, -0.00185995737527498
1.73809828125E-07, -0.00179550734861073
1.7381178125E-07, -0.00162165770523846
1.73813734375E-07, -0.00212998468841362
1.738156875E-07, -0.00223585290777496
1.73817640625E-07, -0.00231544890041362
1.7381959375E-07, -0.00230553906456785
