File Format, WaveformXYValues
Format Version, 1
Instrument, N1045A,04F,LOJ
SwVersion, A.06.71.21
SerialNumber, MY56260108
Date, 11/29/2023 13:40:30 GMT+08:00

Source Name, Channel 1A

Points, 2048
Signal Type, Unspecified
Channel Bandwidth, 2E+10
Channel Noise, 6.66857143682292E-05
X Units, Second
Y Units, Volt
Data, 
1.73636E-07, -0.00157234410391829
1.73637953125E-07, -0.00109032886973367
1.7363990625E-07, -0.000413344138258639
1.73641859375E-07, -0.00122726003317867
1.736438125E-07, -0.000894837693603945
1.73645765625E-07, -0.00134653505580551
1.7364771875E-07, -0.000569592652682041
1.73649671875E-07, -0.00106030383778116
1.73651625E-07, -0.000811907907895017
1.73653578125E-07, -0.000599526588622659
1.7365553125E-07, -0.00100615569557876
1.73657484375E-07, -0.0010827245543496
1.736594375E-07, -0.000512721069779173
1.73661390625E-07, -0.000977458923479348
1.7366334375E-07, -0.00149172908347838
1.73665296875E-07, -0.00125257230673245
1.7366725E-07, -0.00165238859622002
1.73669203125E-07, -0.00137676725769181
1.7367115625E-07, -0.00111903578884385
1.73673109375E-07, -0.00190588743839603
1.736750625E-07, -0.0012738500803427
1.73677015625E-07, -0.00120157142476067
1.7367896875E-07, -0.00167606847693866
1.73680921875E-07, -0.00102350180773729
1.73682875E-07, -0.00107493557483046
1.73684828125E-07, -0.00121454491812641
1.7368678125E-07, -0.00124354895015058
1.73688734375E-07, -0.000919229813882061
1.736906875E-07, -0.00115855866837464
1.73692640625E-07, -0.00163509481697055
1.7369459375E-07, -0.00109039826164522
1.73696546875E-07, -0.0015103773023019
1.736985E-07, -0.00113229621902309
1.73700453125E-07, -0.00129782425090873
1.7370240625E-07, -0.0011264220057574
1.73704359375E-07, -0.00146992919896062
1.737063125E-07, -0.00123365543360544
1.73708265625E-07, -0.00127365769940304
1.7371021875E-07, -0.0013519906454424
1.73712171875E-07, -0.00166128065894172
1.73714125E-07, -0.00129473548184227
1.73716078125E-07, -0.00158618653274079
1.7371803125E-07, -0.00159174919226682
1.73719984375E-07, -0.00129582082784753
1.737219375E-07, -0.00154147010256033
1.73723890625E-07, -0.00175572384634694
1.7372584375E-07, -0.0016969431688481
1.73727796875E-07, -0.00158828624230967
1.7372975E-07, -0.0011396257311844
1.73731703125E-07, -0.00157674774045782
1.7373365625E-07, -0.00140657699462771
1.73735609375E-07, -0.0017896998852316
1.737375625E-07, -0.00137246837847805
1.73739515625E-07, -0.00157383428471405
1.7374146875E-07, -0.00170342078117969
1.73743421875E-07, -0.00148529842774282
1.73745375E-07, -0.00153765476469312
1.73747328125E-07, -0.00169960482546685
1.7374928125E-07, -0.00155190590307676
1.73751234375E-07, -0.00180277153241464
1.737531875E-07, -0.00199497078111375
1.73755140625E-07, -0.00154837285525811
1.7375709375E-07, -0.00187457035094238
1.73759046875E-07, -0.00171021644823626
1.73761E-07, -0.00134245214048862
1.73762953125E-07, -0.00181532474141878
1.7376490625E-07, -0.00214012767886695
1.73766859375E-07, -0.00180123811598572
1.737688125E-07, -0.00193396855246286
1.73770765625E-07, -0.00129779634744593
1.7377271875E-07, -0.00201231543707915
1.73774671875E-07, -0.00186431965716805
1.73776625E-07, -0.00156304167077314
1.73778578125E-07, -0.00183245971782429
1.7378053125E-07, -0.00195863596704205
1.73782484375E-07, -0.00198315235841426
1.737844375E-07, -0.00211492508850961
1.73786390625E-07, -0.00212126015527689
1.7378834375E-07, -0.00213528529112671
1.73790296875E-07, -0.00230906598740703
1.7379225E-07, -0.00186469410625981
1.73794203125E-07, -0.00189169499596188
1.7379615625E-07, -0.00199860031462519
1.73798109375E-07, -0.00164331634401343
1.738000625E-07, -0.00189757483060252
1.73802015625E-07, -0.00219360027241717
1.7380396875E-07, -0.00196192767895429
1.73805921875E-07, -0.00173404823931086
1.73807875E-07, -0.00193862108977716
1.73809828125E-07, -0.00244458479238363
1.7381178125E-07, -0.00211204206211788
1.73813734375E-07, -0.00208824697532678
1.738156875E-07, -0.00205808603822944
1.73817640625E-07, -0.00232075731661285
1.7381959375E-07, -0.00232858954222985
